description,main_group,anomaly_type,anomaly_decision_score,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,calcium,vitamin_c
Pesto sauce,Condiments & Sauces,Extreme Macro Imbalance,-0.006549501721830553,590.09,8.61,5.78,59.17,1.0,0.7,988,207,4.1
"Vegetable oil, NFS",Vegetables,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Almond oil,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Coconut oil,Condiments & Sauces,Nutrient Void,-0.02278480177007247,895.26,0.0,0.84,99.1,0.0,0.0,0,1,0.0
Corn oil,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Cottonseed oil,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Flaxseed oil,Condiments & Sauces,Extreme Macro Imbalance,-0.029664321958374096,900.26,0.11,0.0,99.98,0.0,0.0,0,1,0.0
Olive oil,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,2,1,0.0
Peanut oil,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Canola oil,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Safflower oil,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Sesame oil,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Soybean oil,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
Sunflower oil,Condiments & Sauces,Extreme Macro Imbalance,-0.03191920607300558,900.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0
