description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)",0,68.4,1.72,7.4,3.55,0.0,7.0,31
"Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)",0,120.8,3.03,13.06,6.27,0.0,12.36,52
"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)",0,68.4,1.72,7.4,3.55,0.0,7.0,31
"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)",0,68.4,1.72,7.4,3.55,0.0,7.0,29
"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)",0,68.4,1.72,7.4,3.55,0.0,7.0,28
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)",0,65.2,1.7,6.87,3.43,0.0,6.87,30
"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)",0,65.2,1.7,6.87,3.43,0.0,6.87,30
"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)",0,65.2,1.7,6.87,3.43,0.0,6.87,30
"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",0,65.2,1.7,6.87,3.43,0.0,6.87,28
"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)",0,65.2,1.7,6.87,3.43,0.0,6.87,26
"Infant formula, NS as to form (PediaSure)",0,99.0,2.86,11.15,4.77,0.0,10.5,36
"Infant formula, ready-to-feed (PediaSure)",0,99.0,2.86,11.15,4.77,0.0,10.5,36
"Infant formula, with fiber, NS as to form (PediaSure Fiber)",0,98.6,2.8,11.28,4.7,0.5,7.6,36
"Infant formula, with fiber, ready-to-feed (PediaSure Fiber)",0,98.6,2.8,11.28,4.7,0.5,7.6,36
"Infant formula, NS as to form (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, ready-to-feed (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,20
"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,18
"Infant formula, powder, made with tap water (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,20
"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",0,66.4,1.48,7.45,3.41,0.0,7.45,18
"Infant formula, NS as to form (Gerber Good Start Protect)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, powder, made with water, NFS (Gerber Good Start Protect)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, powder, made with tap water (Gerber Good Start Protect)",0,66.4,1.48,7.45,3.41,0.0,7.45,22
"Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)",0,66.4,1.48,7.45,3.41,0.0,7.45,20
"Infant formula, powder, made with baby water (Gerber Good Start Protect)",0,66.4,1.48,7.45,3.41,0.0,7.45,18
"Infant formula, NS as to form (Gerber Graduates Gentle)",0,65.0,1.41,7.46,3.28,0.0,7.46,21
"Infant formula, NS as to form (Gerber Graduates Protect)",0,65.0,1.41,7.46,3.28,0.0,7.46,21
"Infant formula, NS as to form (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,20
"Infant formula, liquid concentrate, made with water, NFS (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,20
"Infant formula, powder, made with water, NFS (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,20
"Infant formula, ready-to-feed (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,20
"Infant formula, liquid concentrate, made with tap water (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,20
"Infant formula, liquid concentrate, made with plain bottled water (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,19
"Infant formula, liquid concentrate, made with baby water (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,17
"Infant formula, powder, made with tap water (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,20
"Infant formula, powder, made with plain bottled water (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,19
"Infant formula, powder, made with baby water (Store Brand)",0,66.0,1.38,7.12,3.56,0.0,7.12,17
"Infant formula, NS as to form (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,26
"Infant formula, ready-to-feed (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,26
"Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,26
"Infant formula, powder, made with water, NFS (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,26
"Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,26
"Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,24
"Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,22
"Infant formula, powder, made with tap water (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,26
"Infant formula, powder, made with plain bottled water (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,24
"Infant formula, powder, made with baby water (Enfamil ProSobee)",0,65.3,1.62,6.86,3.49,0.0,6.86,22
"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)",0,62.8,2.07,7.4,2.77,0.0,7.4,26
"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)",0,62.8,2.07,7.4,2.77,0.0,7.4,26
"Infant formula, NS as to form (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,32
"Infant formula, ready-to-feed (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,32
"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,32
"Infant formula, powder, made with water, NFS (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,32
"Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,32
"Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,30
"Infant formula, liquid concentrate, made with baby water (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,28
"Infant formula, powder, made with tap water (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,32
"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,30
"Infant formula, powder, made with baby water (Similac Isomil Soy)",0,65.0,1.58,6.73,3.53,0.0,6.65,28
"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",0,66.1,1.76,6.67,3.6,0.7,6.66,29
"Infant formula, ready-to-feed (Similac Expert Care for Diarrhea)",0,66.1,1.76,6.67,3.6,0.7,6.66,29
"Infant formula, NS as to form (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,30
"Infant formula, ready-to-feed (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,30
"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,30
"Infant formula, powder, made with water, NFS (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,30
"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,30
"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,28
"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,26
"Infant formula, powder, made with tap water (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,30
"Infant formula, powder, made with plain bottled water (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,28
"Infant formula, powder, made with baby water (Gerber Good Start Soy)",0,65.8,1.63,7.27,3.35,0.0,5.8,26
"Infant formula, NS as to form (Gerber Graduates Soy)",0,65.5,1.84,7.15,3.28,0.0,7.14,26
"Infant formula, NS as to form (Store Brand Soy)",0,65.2,1.6,6.79,3.51,0.0,6.76,29
"Infant formula, ready-to-feed (Store brand Soy)",0,65.2,1.6,6.79,3.51,0.0,6.76,29
"Infant formula, liquid concentrate, made with water, NFS (Store Brand Soy)",0,65.2,1.6,6.79,3.51,0.0,6.76,29
"Infant formula, powder, made with water, NFS (Store Brand Soy)",0,65.2,1.6,6.79,3.51,0.0,6.76,29
"Infant formula, powder, made with tap water (Store Brand Soy)",0,65.2,1.6,6.79,3.51,0.0,6.76,29
"Infant formula, powder, made with plain bottled water (Store Brand Soy)",0,65.2,1.6,6.79,3.51,0.0,6.76,27
"Infant formula, powder, made with baby water (Store Brand Soy)",0,65.2,1.6,6.79,3.51,0.0,6.76,25
"Infant formula, NS as to form (Enfamil Nutramigen)",0,63.8,1.8,6.6,3.36,0.0,6.6,33
"Infant formula, ready-to-feed (Enfamil Nutramigen)",0,63.8,1.8,6.6,3.36,0.0,6.6,33
"Infant formula, liquid concentrate, made with water, NFS (Enfamil Nutramigen)",0,63.8,1.8,6.6,3.36,0.0,6.6,33
"Infant formula, powder, made with water, NFS (Enfamil Nutramigen)",0,63.8,1.8,6.6,3.36,0.0,6.6,33
"Infant formula, NS as to form (PurAmino)",0,63.9,1.81,6.6,3.36,0.0,6.6,33
"Infant formula, powder, made with water, NFS (PurAmino)",0,63.9,1.81,6.6,3.36,0.0,6.6,33
"Infant formula, NS as to form (Enfamil Pregestimil)",0,67.1,1.81,6.83,3.62,0.0,6.6,35
"Infant formula, ready-to-feed (Enfamil Pregestimil)",0,67.1,1.81,6.83,3.62,0.0,6.6,35
"Infant formula, powder, made with water, NFS (Enfamil Pregestimil)",0,67.1,1.81,6.83,3.62,0.0,6.6,35
"Infant formula, ready-to-feed, low iron (Enfamil Premature 20 Cal)",0,66.8,1.97,7.21,3.34,0.0,7.23,38
"Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)",0,66.8,1.97,7.21,3.34,0.0,7.2,38
"Milk, dry, not reconstituted, NS as to fat content",1,359.5,36.16,51.98,0.77,0.0,51.98,535
"Milk, dry, not reconstituted, whole",1,499.4,26.32,38.42,26.71,0.0,38.42,371
"Milk, dry, not reconstituted, low fat (1%)",1,364.8,35.8,51.46,1.75,0.0,51.46,530
"Milk, dry, not reconstituted, fat free (skim)",1,359.5,36.16,51.98,0.77,0.0,51.98,535
"Whey, sweet, dry",1,359.2,12.93,74.46,1.07,0.0,74.46,1079
"Cocoa powder, not reconstituted",4,433.3,19.6,57.9,13.7,37.0,1.75,21
"Chocolate beverage powder, dry mix, not reconstituted",1,399.8,4.55,90.28,2.27,4.5,81.82,136
"Chocolate beverage powder, light, dry mix, not reconstituted",4,350.1,9.09,68.31,4.5,9.1,27.27,500
"Milk, malted, dry mix, not reconstituted",1,371.8,0.0,92.96,0.0,0.0,72.73,530
"Strawberry beverage powder, dry mix, not reconstituted",1,398.6,0.1,99.1,0.2,0.0,95.45,38
"Cream, NS as to light, heavy, or half and half",0,133.2,3.13,4.3,11.5,0.0,4.13,61
"Cream, light",0,198.4,2.96,3.66,19.1,0.0,3.67,72
"Cream, half and half",0,133.2,3.13,4.3,11.5,0.0,4.13,61
"Cream, half and half, flavored",0,131.8,3.07,4.5,11.28,0.0,4.33,60
"Cream, half and half, fat free",0,59.0,2.6,9.0,1.4,0.0,5.0,100
"Cream, heavy",5,347.4,2.84,2.84,36.08,0.0,2.92,27
"Cream, whipped",5,350.5,2.67,8.59,33.94,0.0,8.55,26
"Coffee creamer, NFS",0,139.2,1.0,11.38,9.97,0.0,11.38,67
"Coffee creamer, liquid",0,139.2,1.0,11.38,9.97,0.0,11.38,67
"Coffee creamer, liquid, flavored",1,264.5,0.69,35.07,13.5,1.1,33.04,67
"Coffee creamer, liquid, fat free",0,71.1,0.8,9.1,3.5,0.0,9.1,60
"Coffee creamer, liquid, fat free, flavored",0,153.6,0.6,31.72,2.7,0.0,31.78,45
"Coffee creamer, liquid, fat free, sugar free, flavored",0,71.1,0.8,9.1,3.5,0.0,9.1,60
"Coffee creamer, liquid, sugar free, flavored",0,71.1,0.8,9.1,3.5,0.0,9.1,60
"Coffee creamer, powder",5,543.4,2.48,59.29,32.92,0.0,7.77,124
"Coffee creamer, powder, flavored",1,497.6,0.68,75.42,21.47,1.2,58.01,123
"Coffee creamer, powder, fat free",1,442.5,1.9,73.4,15.7,0.0,73.4,229
"Coffee creamer,powder, fat free, flavored",1,442.5,1.9,73.4,15.7,0.0,73.4,229
"Coffee creamer,powder, sugar free, flavored",5,543.4,2.48,59.29,32.92,0.0,7.77,124
"Coffee creamer, soy, liquid",0,139.2,1.0,11.38,9.97,0.0,11.38,67
Whipped topping,5,325.0,1.25,23.05,25.31,0.0,23.05,25
"Whipped topping, fat free",0,224.3,3.0,23.6,13.1,0.0,23.6,72
"Whipped topping, sugar free",0,224.3,3.0,23.6,13.1,0.0,23.6,72
"Sour cream, regular",0,202.4,2.44,4.63,19.35,0.0,3.41,31
"Sour cream, light",0,137.8,3.5,7.1,10.6,0.0,0.22,83
"Sour cream, fat free",0,74.8,3.1,15.6,0.0,0.0,0.39,141
"Sour cream, imitation",0,211.8,2.4,6.63,19.52,0.0,6.63,102
"Dip, NFS",3,435.5,2.24,3.49,45.84,0.3,2.48,708
"Chipotle dip, regular",3,429.2,1.69,2.7,45.74,0.0,2.04,699
"Chipotle dip, light",5,196.4,1.82,13.2,15.15,0.0,7.36,598
"Dill dip, regular",3,432.2,1.92,3.12,45.78,0.3,2.05,703
"Dill dip, light",5,199.3,2.04,13.6,15.19,0.3,7.37,602
"Onion dip, regular",5,348.4,1.91,3.57,36.27,0.2,2.65,556
"Onion dip, light",0,166.6,2.0,11.88,12.34,0.1,6.85,481
"Ranch dip, regular",3,435.5,2.24,3.49,45.84,0.3,2.48,708
"Ranch dip, light",5,202.4,2.35,13.95,15.25,0.2,7.78,607
"Spinach dip, regular",5,347.8,2.11,3.1,36.33,0.3,2.31,563
"Spinach dip, light",0,166.0,2.2,11.42,12.39,0.3,6.53,488
"Vegetable dip, regular",3,432.2,1.92,3.12,45.78,0.3,2.05,703
"Vegetable dip, light",5,199.3,2.04,13.6,15.19,0.3,7.37,602
"Ice cream, NFS",0,221.4,3.57,26.36,11.3,0.8,22.86,90
"Ice cream, vanilla",0,207.4,3.5,23.6,11.0,0.7,21.22,80
"Ice cream, vanilla, with additional ingredients",5,242.6,3.67,30.51,11.76,1.0,25.33,105
"Ice cream, chocolate",5,227.0,3.8,28.2,11.0,1.2,25.36,76
"Ice cream, chocolate, with additional ingredients",1,259.1,3.93,34.39,11.76,1.5,28.82,102
"Ice cream, soft serve, vanilla",0,180.4,4.78,29.46,4.83,0.3,22.12,74
"Ice cream, soft serve, chocolate",0,187.5,5.0,25.7,7.19,0.8,24.71,71
"Gelato, vanilla",0,249.0,3.5,22.29,16.2,0.0,20.65,61
"Gelato, chocolate",5,250.8,4.72,19.78,16.98,0.9,17.35,57
"Ice cream bar, vanilla",5,384.3,2.11,37.12,25.26,1.1,21.05,84
"Ice cream bar, vanilla, chocolate coated",5,331.3,4.1,24.5,24.1,0.8,18.3,68
Ice cream candy bar,1,323.0,4.4,30.9,20.2,0.6,30.0,92
"Ice cream bar, chocolate",5,333.3,4.41,25.17,23.89,1.5,17.97,67
"Ice cream sandwich, vanilla",5,266.8,4.28,35.88,11.8,1.4,25.27,205
"Ice cream sandwich, chocolate",1,281.5,4.5,39.33,11.8,1.8,28.38,202
Ice cream cookie sandwich,1,318.8,4.61,43.35,14.11,1.7,26.45,232
"Ice cream cone, scooped, vanilla",0,215.6,3.68,25.82,10.84,0.8,20.61,87
"Ice cream cone, scooped, vanilla, waffle cone",0,218.9,3.76,27.16,10.58,0.8,21.48,93
"Ice cream cone, NFS",5,229.0,3.75,28.47,11.13,0.9,22.19,97
"Ice cream cone, scooped, chocolate",5,234.4,3.97,30.23,10.84,1.3,24.59,83
"Ice cream cone, scooped, chocolate, waffle cone",5,237.3,4.04,31.49,10.58,1.2,25.38,89
"Ice cream cone, soft serve, vanilla",0,189.6,4.91,31.44,4.91,0.4,21.48,81
"Ice cream cone, soft serve, chocolate",0,196.4,5.12,27.83,7.18,0.9,23.96,78
"Ice cream cone, soft serve, vanilla, waffle cone",0,193.4,4.96,32.67,4.77,0.4,22.33,87
"Ice cream cone, soft serve, chocolate, waffle cone",0,200.2,5.17,29.14,6.99,0.9,24.77,84
"Ice cream cone, vanilla, prepackaged",5,355.3,5.21,34.38,21.88,1.0,25.0,94
"Ice cream cone, chocolate, prepackaged",5,356.1,5.35,34.62,21.8,1.4,24.77,93
"Ice cream soda, flavors other than chocolate",0,85.9,0.92,14.02,2.9,0.2,13.4,31
"Ice cream soda, chocolate",0,91.0,1.0,15.23,2.9,0.3,14.48,30
"Ice cream sundae, NFS",5,243.1,3.72,31.92,11.17,1.1,23.89,138
"Ice cream sundae, fruit topping",0,224.6,2.74,32.67,9.22,0.7,22.24,65
Banana split,0,202.3,2.53,32.53,6.9,1.3,23.29,98
"Ice cream sundae, hot fudge topping",5,243.1,3.72,31.92,11.17,1.1,23.89,138
"Ice cream sundae, caramel topping",0,217.0,2.97,30.61,9.19,0.5,28.82,136
"Ice cream, fried",5,283.3,3.94,32.77,15.16,1.2,20.9,159
"Light ice cream, NFS",0,174.5,4.38,25.44,6.14,0.2,14.29,85
"Light ice cream, vanilla",0,174.5,4.38,25.44,6.14,0.2,14.29,85
"Light ice cream, chocolate",0,180.2,4.27,26.24,6.46,0.8,15.18,73
"Soft serve, blended with candy or cookies, from fast food",0,175.3,4.0,26.18,6.06,0.2,22.78,64
"Light ice cream sandwich, vanilla",5,242.1,4.93,37.26,8.15,1.0,20.08,209
"Light ice cream sandwich, chocolate",5,246.4,4.85,37.86,8.4,1.5,20.74,200
"Light ice cream bar, vanilla",0,237.8,3.23,18.76,16.65,0.1,10.54,64
"Light ice cream bar, vanilla, chocolate coated",0,239.7,3.39,19.15,16.62,0.5,10.45,63
"Light ice cream bar, chocolate",0,243.9,3.31,19.74,16.86,1.0,11.1,55
Creamsicle,0,164.9,1.54,32.75,3.08,0.0,18.46,46
"Creamsicle, light",0,51.0,1.1,11.66,0.0,1.8,3.34,35
Fudgesicle,0,163.2,2.56,29.99,3.67,1.0,17.47,104
"Light ice cream cone, vanilla, prepackaged",5,224.3,5.41,34.23,7.3,0.7,16.4,133
"Light ice cream cone, chocolate, prepackaged",5,228.8,5.32,34.87,7.56,1.3,17.11,124
"Sherbet, all flavors",0,144.0,1.1,30.4,2.0,1.3,24.32,46
"Fudgesicle, light",0,124.0,3.67,23.11,1.87,1.5,5.1,96
"Pudding, chocolate, NFS",0,141.8,2.09,23.01,4.6,0.0,17.17,152
"Pudding, bread",0,159.0,5.63,23.52,4.71,1.0,15.13,212
"Pudding, flavors other than chocolate, NFS",0,130.2,1.45,22.6,3.78,0.0,16.97,172
Custard,0,95.2,5.11,10.96,3.43,0.0,10.93,86
Flan,0,177.3,5.27,28.18,4.83,0.0,28.14,167
Creme brulee,0,111.7,4.08,17.87,2.66,0.0,17.88,75
"Pudding, rice",0,105.8,3.23,18.39,2.15,0.3,11.59,97
"Firni, Indian pudding",0,142.9,3.58,25.17,3.1,0.3,15.66,30
"Pudding, tapioca, made from dry mix",0,129.5,1.95,21.69,3.88,0.0,14.91,145
"Pudding, flavors other than chocolate, made from dry mix",0,104.7,2.79,19.42,1.76,0.0,19.43,264
"Pudding, chocolate, made from dry mix",0,111.8,3.14,20.35,1.98,0.7,16.63,362
"Pudding, flavors other than chocolate, made from dry mix, sugar free",0,68.4,3.19,9.56,1.93,0.0,4.66,257
"Pudding, chocolate, made from dry mix, sugar free",0,74.2,3.49,10.51,2.02,0.5,4.57,254
"Pudding, flavors other than chocolate, ready-to-eat",0,130.2,1.45,22.6,3.78,0.0,16.97,172
"Pudding, flavors other than chocolate, ready-to-eat, sugar free",0,68.4,3.19,9.56,1.93,0.0,4.66,257
"Pudding, chocolate, ready-to-eat",0,141.8,2.09,23.01,4.6,0.0,17.17,152
"Pudding, chocolate, ready-to-eat, sugar free",0,74.2,3.49,10.51,2.02,0.5,4.57,254
"Pudding, tapioca, ready-to-eat",0,129.5,1.95,21.69,3.88,0.0,14.91,145
Banana pudding,0,160.6,2.68,27.94,4.23,0.9,18.79,129
Mousse,0,217.1,4.36,16.25,14.96,0.6,15.11,35
"Milk dessert or milk candy, Puerto Rican style",1,314.9,6.84,55.35,7.35,0.0,49.74,129
"Barfi or Burfi, Indian dessert",1,285.5,5.41,40.46,11.34,0.4,36.97,71
Trifle,0,171.0,3.53,23.24,7.1,0.4,15.77,180
Tiramisu,5,360.6,5.9,29.59,24.29,0.4,18.86,155
"Custard pudding, flavor other than chocolate, baby food, NS as to strained or junior",0,87.3,1.68,16.79,1.49,0.1,11.85,13
"Custard pudding, baby food, flavor other than chocolate, strained",0,88.4,1.6,16.0,2.0,0.0,11.5,0
"Custard pudding, baby food, flavor other than chocolate, junior",0,86.2,1.76,17.58,0.98,0.2,12.2,26
White sauce or gravy,0,141.6,3.81,9.19,9.96,0.2,4.61,331
"Cheese, NFS",2,368.3,20.42,5.0,29.62,0.0,2.69,904
"Cheese, Blue or Roquefort",2,353.6,21.4,2.34,28.74,0.0,0.5,1146
"Cheese, Brick",2,371.2,23.24,2.79,29.68,0.0,0.51,560
"Cheese, Camembert",2,299.4,19.8,0.46,24.26,0.0,0.46,842
"Cheese, Brie",2,333.9,20.75,0.45,27.68,0.0,0.45,629
"Cheese, Cheddar",2,409.0,23.3,2.44,34.0,0.0,0.33,654
"Cheese, Cheddar, reduced fat",2,303.8,27.35,2.67,20.41,0.0,0.26,628
"Cheese, Cheddar, nonfat or fat free",2,157.1,32.14,7.14,0.0,0.0,0.0,1000
"Cheese, Colby",2,394.3,23.76,2.57,32.11,0.0,0.52,604
"Cheese, Colby Jack",2,383.8,24.12,1.62,31.2,0.0,0.51,602
"Cheese, Feta",2,265.8,14.21,3.88,21.49,0.0,0.0,1139
"Cheese, Fontina",2,388.9,25.6,1.55,31.14,0.0,1.55,800
"Cheese, goat",2,355.4,21.58,0.12,29.84,0.0,0.12,415
"Cheese, Gouda or Edam",2,355.6,24.94,2.22,27.44,0.0,2.22,819
"Cheese, Gruyere",2,411.7,29.81,0.36,32.34,0.0,0.36,714
"Cheese, Limburger",2,327.4,20.05,0.49,27.25,0.0,0.49,800
"Cheese, Monterey",2,373.2,24.48,0.68,30.28,0.0,0.5,600
"Cheese, Monterey, reduced fat",2,310.0,28.2,0.7,21.6,0.0,0.56,781
"Cheese, Mozzarella, NFS",2,296.2,23.7,4.44,20.4,0.0,1.81,699
"Cheese, Mozzarella, part skim",2,296.2,23.7,4.44,20.4,0.0,1.81,699
"Cheese, Mozzarella, reduced sodium",2,276.3,27.5,3.1,17.1,0.0,1.23,16
"Cheese, Mozzarella, nonfat or fat free",2,140.8,31.7,3.5,0.0,1.8,1.48,743
"Cheese, Muenster",2,368.5,23.41,1.12,30.04,0.0,1.12,628
"Cheese, Muenster, reduced fat",2,271.2,24.7,3.5,17.6,0.0,3.5,600
"Cheese, Parmesan, dry grated",2,420.0,29.6,12.4,28.0,0.0,0.07,1750
"Cheese, Parmesan, dry grated, reduced fat",2,392.5,34.8,26.2,16.5,0.0,0.78,1450
"Cheese, Parmesan, hard",2,420.0,29.6,12.4,28.0,0.0,0.07,1750
"Cheese, Parmesan, dry grated, fat free",2,365.0,40.0,40.0,5.0,0.0,1.5,1150
"Cheese, Port du Salut",2,355.6,24.94,2.22,27.44,0.0,2.22,819
"Cheese, Provolone",2,350.5,25.58,2.14,26.62,0.0,0.56,727
"Cheese, provolone, reduced fat",2,271.2,24.7,3.5,17.6,0.0,0.55,615
"Cheese, Swiss",2,392.8,27.0,1.44,31.0,0.0,0.0,185
"Cheese, Swiss, reduced sodium",2,373.8,28.4,3.4,27.4,0.0,1.31,14
"Cheese, Swiss, reduced fat",2,173.1,28.4,3.4,5.1,0.0,1.33,199
"Cheese, Swiss, nonfat or fat free",2,127.2,28.4,3.4,0.0,0.0,1.33,1000
"Cheese, Cheddar, reduced sodium",2,398.6,24.35,1.91,32.62,0.0,0.49,21
"Cheese, Mexican blend",2,357.8,23.54,1.75,28.51,0.0,1.23,607
"Cheese, Mexican blend, reduced fat",2,287.0,24.69,3.41,19.4,0.0,0.56,776
"Queso Anejo, aged Mexican cheese",2,374.1,21.44,4.63,29.98,0.0,4.63,1131
Queso Asadero,2,356.2,22.6,2.87,28.26,0.0,2.87,607
Queso Fresco,2,298.7,18.09,2.98,23.82,0.0,2.32,751
Queso cotija,2,365.9,20.0,3.97,30.0,0.0,0.0,1400
"Cheese, cottage, NFS",0,81.9,11.0,4.31,2.3,0.0,4.1,321
"Cheese, cottage, creamed, large or small curd",0,96.7,11.12,3.38,4.3,0.0,2.67,315
"Cottage cheese, farmer's",0,142.9,10.49,3.18,9.8,0.0,2.52,297
"Cheese, Ricotta",0,147.5,9.6,6.0,9.46,0.0,0.29,102
"Cheese, cottage, with fruit",0,75.0,9.41,4.94,1.96,0.2,4.61,273
"Cheese, cottage, with vegetables",0,79.5,9.78,5.63,1.98,0.7,3.95,278
"Cheese, cottage, dry curd",0,70.6,10.34,6.66,0.29,0.0,1.85,372
"Cheese, cottage, salted, dry curd",0,69.9,10.24,6.59,0.29,0.0,1.83,755
Puerto Rican white cheese,2,298.7,18.09,2.98,23.82,0.0,2.32,751
"Cheese, cottage, low fat",0,81.9,11.0,4.31,2.3,0.0,4.1,321
"Cheese, cottage, lowfat, with fruit",0,83.1,7.32,9.99,1.54,0.4,8.81,209
"Cheese, cottage, lowfat, low sodium",0,69.4,12.4,2.7,1.0,0.0,2.7,13
