description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Chocolate milk, made from sugar free syrup with low fat milk",0,48.3,3.32,6.32,1.08,0.4,4.37,77
"Chocolate milk, made from sugar free syrup with fat free milk",0,40.6,3.36,6.06,0.32,0.4,4.45,79
"Chocolate milk, made from sugar free syrup with non-dairy milk",0,43.3,1.66,6.22,1.31,0.5,3.72,94
"Hot chocolate / Cocoa, made with dry mix and water",0,54.2,0.91,11.4,0.55,0.5,8.93,72
"Hot chocolate / Cocoa, made with dry mix and whole milk",0,105.4,3.73,15.16,3.31,0.5,12.87,100
"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",0,96.3,3.79,15.37,2.18,0.5,12.94,101
"Hot chocolate / Cocoa, made with dry mix and low fat milk",0,90.0,3.82,15.61,1.36,0.5,13.0,101
"Hot chocolate / Cocoa, made with dry mix and fat free milk",0,82.2,3.86,15.35,0.6,0.5,13.08,102
"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",0,84.7,2.18,15.47,1.57,0.7,12.31,117
"Hot chocolate / Cocoa, made with no sugar added dry mix and water",0,31.1,1.28,5.94,0.25,0.6,3.11,75
"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",0,86.0,4.26,10.08,3.18,0.6,7.45,105
"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",0,76.4,4.33,10.3,1.99,0.6,7.52,106
"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",0,69.7,4.35,10.56,1.12,0.6,7.59,106
"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",0,61.6,4.4,10.28,0.32,0.6,7.67,108
"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",0,64.3,2.61,10.43,1.35,0.8,6.88,124
"Strawberry milk, NFS",0,51.8,3.33,5.35,1.9,0.0,5.29,40
"Strawberry milk, whole",0,86.2,3.04,11.82,2.97,0.0,11.68,38
"Strawberry milk, reduced fat",0,71.6,3.15,10.71,1.8,0.0,10.46,39
"Strawberry milk, low fat",0,69.7,3.13,12.3,0.89,0.0,11.82,39
"Strawberry milk, fat free",0,61.6,3.18,12.03,0.09,0.0,11.9,41
"Strawberry milk, reduced sugar",0,50.0,3.31,7.08,0.94,0.0,6.86,38
"Strawberry milk, non-dairy",0,64.5,1.39,12.2,1.13,0.2,11.12,57
"Milk, malted",0,64.7,3.2,8.67,1.91,0.0,7.82,60
Eggnog,0,88.1,4.55,8.05,4.19,0.0,8.05,54
"Milk shake, home recipe, chocolate",0,123.4,3.48,13.55,6.14,0.5,12.57,52
"Milk shake, home recipe, flavors other than chocolate",0,112.9,3.36,11.41,5.98,0.2,10.66,53
"Milk shake, home recipe, chocolate, light",0,97.5,3.99,12.93,3.31,0.3,12.42,51
"Milk shake, home recipe, flavors other than chocolate, light",0,91.8,3.88,13.84,2.33,0.1,11.07,51
Milk shake with malt,0,124.7,3.77,13.66,6.11,0.2,12.04,66
"Milk shake, fast food, chocolate",0,156.2,3.7,20.36,6.66,1.6,13.39,80
"Milk shake, fast food, flavors other than chocolate",0,150.5,3.37,19.59,6.52,0.9,13.63,81
"Milk shake, bottled, chocolate",0,156.2,3.7,20.36,6.66,1.6,13.39,80
"Milk shake, bottled, flavors other than chocolate",0,150.5,3.37,19.59,6.52,0.9,13.63,81
Licuado or Batido,0,74.4,2.4,13.1,1.38,0.7,10.86,25
"Fruit smoothie, NFS",0,65.8,2.4,11.65,1.07,1.2,8.23,28
"Fruit smoothie, with whole fruit and dairy",0,65.9,2.4,11.66,1.07,1.2,8.23,28
"Fruit smoothie, with whole fruit and dairy, added protein",0,79.2,7.38,9.71,1.21,1.1,7.14,40
